num_features,loss,accuracy
10,2.232554018497467,1.0
10,3.7281575202941895,1.0
10,2.987857401371002,1.0
10,3.180732846260071,0.9444444444444444
10,2.976668894290924,1.0
5,2.4224045872688293,0.9333333333333333
5,4.506735384464264,0.8695652173913043
5,3.4567553997039795,0.9444444444444444
5,3.5328584909439087,0.8333333333333334
5,2.976619780063629,1.0
4,3.083918035030365,0.7333333333333333
4,5.914421558380127,0.5652173913043478
4,3.6444535851478577,0.8333333333333334
4,3.7159363627433777,0.8888888888888888
4,4.3690619468688965,0.631578947368421
8,2.4426305890083313,0.9333333333333333
8,4.722703337669373,0.782608695652174
8,3.4420086145401,0.8888888888888888
8,3.9413822293281555,0.7777777777777778
8,3.456429362297058,0.8947368421052632
